"PanelFile","ParameterName","Channel","PinNumber","PinDesignation","Type","SimVar_Logic","Notes"
"pedestal.lua","PIN_MAG_DG_MAG1","B","D51","ARDUINO_MEGA2560_B_D51","Input (Digital)","",""
"pedestal.lua","PIN_MAG_DG_MAG2","B","D47","ARDUINO_MEGA2560_B_D47","Input (Digital)","",""
"pedestal.lua","PIN_MAG_DG_DG1","B","D52","ARDUINO_MEGA2560_B_D52","Input (Digital)","",""
"pedestal.lua","PIN_MAG_DG_DG2","B","D48","ARDUINO_MEGA2560_B_D48","Input (Digital)","",""
"pedestal.lua","PIN_AHRS_SERVO","B","D60","ARDUINO_MEGA2560_B_D60","Output (Hardware)","","Placeholder for Servo"
"pedestal.lua","PIN_VALVE1","B","D30","ARDUINO_MEGA2560_B_D30","Input (Digital)","",""
"pedestal.lua","PIN_VALVE2","B","D32","ARDUINO_MEGA2560_B_D32","Input (Digital)","",""
"pedestal.lua","PIN_XFEED","B","D28","ARDUINO_MEGA2560_B_D28","Input (Digital)","L:Swxfeedbus","XFEED Bus Test 1"
"pedestal.lua","PIN_XFEED_POS2","B","D31","ARDUINO_MEGA2560_B_D31","Input (Digital)","L:Swxfeedbus","XFEED Bus Test 2 , Ground = 0"
"pedestal.lua","PIN_FUEL_XFEED","B","D33","ARDUINO_MEGA2560_B_D33","Input (Digital)","","Fuel Crossfeed (0=Normal, 1=Over Close)"
"pedestal.lua","PIN_FUEL_TRANS1","B","D34","ARDUINO_MEGA2560_B_D34","Input (Digital)","L:SwfueltransengA","Trans Fuel 1"
"pedestal.lua","PIN_BOOST1","B","D35","ARDUINO_MEGA2560_B_D35","Input (Digital)","L:SwboostpuEng1","Boost Pump 1"
"pedestal.lua","PIN_FUEL_INTCON","B","D36","ARDUINO_MEGA2560_B_D36","Input (Digital)","L:Swfuelintcon","Fuel Intercon"
"pedestal.lua","PIN_FUEL_TRANS2","B","D37","ARDUINO_MEGA2560_B_D37","Input (Digital)","L:SwfueltransengB","Trans Fuel 2"
"pedestal.lua","PIN_BOOST2","B","D38","ARDUINO_MEGA2560_B_D38","Input (Digital)","L:SwboostpuEng2","Boost Pump 2"
"pedestal.lua","PIN_HYD1_SW","B","D39","ARDUINO_MEGA2560_B_D39","Input (Digital)","",""
"pedestal.lua","PIN_HYD2_SW","B","D42","ARDUINO_MEGA2560_B_D42","Input (Digital)","",""
"pedestal.lua","PIN_GOV_ENG1","B","D23","ARDUINO_MEGA2560_B_D23","Input (Digital)","",""
"pedestal.lua","PIN_GOV_ENG2","B","D29","ARDUINO_MEGA2560_B_D29","Input (Digital)","",""
"pedestal.lua","PIN_PARTSEP1","B","D25","ARDUINO_MEGA2560_B_D25","Input (Digital)","",""
"pedestal.lua","PIN_PARTSEP2","B","D27","ARDUINO_MEGA2560_B_D27","Input (Digital)","",""
"pedestal.lua","PIN_FORCE_TRIM","B","D40","ARDUINO_MEGA2560_B_D40","Input (Digital)","",""
"pedestal.lua","PIN_RPM_AUDIO","B","D41","ARDUINO_MEGA2560_B_D41","Input (Digital)","",""
