"PanelFile","ParameterName","Channel","PinNumber","PinDesignation","Type","SimVar_Logic","Notes"
"collective.lua","PIN_LDG_LT_LT","C","D22","ARDUINO_MEGA2560_C_D22","Output (LED)","","LDG LIGHT LT (Light ON/OFF)"
"collective.lua","PIN_LDG_LT_EXT","C","D26","ARDUINO_MEGA2560_C_D26","Input (Digital)","","LDG LT EXT (Extend)"
"collective.lua","PIN_LDG_LT_RETR","C","D25","ARDUINO_MEGA2560_C_D25","Input (Digital)","","LDG LT RETR (Retract)"
"collective.lua","PIN_SRCH_LT_ON","C","D23","ARDUINO_MEGA2560_C_D23","Input (Digital)","","SRCH LT ON (Toggle)"
"collective.lua","PIN_SRCH_LT_STOW","C","D24","ARDUINO_MEGA2560_C_D24","Input (Digital)","","SRCH LT STOW (Retract)"
"collective.lua","PIN_SRCH_LT_EXT","C","D39","ARDUINO_MEGA2560_C_D39","Input (Digital)","","SRCH LT EXT (Extend)"
"collective.lua","PIN_SRCH_LT_L","C","D37","ARDUINO_MEGA2560_C_D37","Input (Digital)","","SRCH LT L (Left)"
"collective.lua","PIN_SRCH_LT_R","C","D38","ARDUINO_MEGA2560_C_D38","Input (Digital)","","SRCH LT R (Right)"
"collective.lua","PIN_SRCH_LT_RETR","C","D40","ARDUINO_MEGA2560_C_D40","Input (Digital)","","SRCH LT RETR (Retract)"
"collective.lua","PIN_IDLE_STOP_ENG1","C","D28","ARDUINO_MEGA2560_C_D28","Input (Digital)","","IDLE STOP ENG1"
"collective.lua","PIN_IDLE_STOP_ENG2","C","D29","ARDUINO_MEGA2560_C_D29","Input (Digital)","","IDLE STOP ENG2"
"collective.lua","PIN_START_ENG1","C","D31","ARDUINO_MEGA2560_C_D31","Input (Digital)","","START ENG1"
"collective.lua","PIN_START_ENG2","C","D30","ARDUINO_MEGA2560_C_D30","Input (Digital)","","START ENG2"
"collective.lua","PIN_RPM_INC_RH","C","D34","ARDUINO_MEGA2560_C_D34","Input (Digital)","","RPM INC"
"collective.lua","PIN_RPM_DEC_RH","C","D35","ARDUINO_MEGA2560_C_D35","Input (Digital)","","RPM DEC"
"collective.lua","PIN_RPM_PLUS2","C","D36","ARDUINO_MEGA2560_C_D36","Input (Digital)","","RPM +2"
"collective.lua","PIN_RPM_MINUS2","C","D33","ARDUINO_MEGA2560_C_D33","Input (Digital)","","RPM -2"
"collective.lua","PIN_YAW_UP_RH","C","D48","ARDUINO_MEGA2560_C_D48","Input (Digital)","","YAW UP (Rudder Trim Right)"
"collective.lua","PIN_YAW_DOWN_RH","C","D32","ARDUINO_MEGA2560_C_D32","Input (Digital)","","YAW DOWN (Rudder Trim Left)"
"collective.lua","PIN_GO_AROUND_RH","C","D41","ARDUINO_MEGA2560_C_D41","Input (Digital)","","GO AROUND"
"collective.lua","PIN_RPM_INC_LH","C","D45","ARDUINO_MEGA2560_C_D45","Input (Digital)","","RPM INC"
"collective.lua","PIN_RPM_DEC_LH","C","D46","ARDUINO_MEGA2560_C_D46","Input (Digital)","","RPM DEC"
"collective.lua","PIN_YAW_UP_LH","C","D44","ARDUINO_MEGA2560_C_D44","Input (Digital)","","YAW UP (Rudder Trim Right)"
"collective.lua","PIN_YAW_DOWN_LH","C","D43","ARDUINO_MEGA2560_C_D43","Input (Digital)","","YAW DOWN (Rudder Trim Left)"
"collective.lua","PIN_GO_AROUND_LH","C","D42","ARDUINO_MEGA2560_C_D42","Input (Digital)","","GO AROUND"
"flight_director.lua","PIN_FD1_ALT","F","D46","ARDUINO_MEGA2560_F_D46","Input (Digital)","","ALT"
"flight_director.lua","PIN_FD1_IAS","F","D47","ARDUINO_MEGA2560_F_D47","Input (Digital)","","IAS"
"flight_director.lua","PIN_FD1_VS","F","D48","ARDUINO_MEGA2560_F_D48","Input (Digital)","","VS"
"flight_director.lua","PIN_FD1_HDG","F","D49","ARDUINO_MEGA2560_F_D49","Input (Digital)","","HDG"
"flight_director.lua","PIN_FD1_NAV","F","D50","ARDUINO_MEGA2560_F_D50","Input (Digital)","","NAV"
"flight_director.lua","PIN_FD1_ILS","F","D51","ARDUINO_MEGA2560_F_D51","Input (Digital)","","ILS"
"flight_director.lua","PIN_FD1_BC","F","D52","ARDUINO_MEGA2560_F_D52","Input (Digital)","","BC"
"flight_director.lua","PIN_FD1_VOR_APR","F","D53","ARDUINO_MEGA2560_F_D53","Input (Digital)","","VOR APR"
"flight_director.lua","PIN_FD1_GA","F","D13","ARDUINO_MEGA2560_F_D13","Input (Digital)","","GA"
"flight_director.lua","PIN_FD1_SBY","F","A1","ARDUINO_MEGA2560_F_A1","Input/Output (Verify)","","SBY"
